this
horse
is
a
fantastic
study
of
the
animals
but
i
find
it
curious
that
its
called
which
means
person
with
who
views
situation
and
also
character
from
was
written
3
years
before
painted
these
two
works
challenge
boundaries
abstraction
use
paint
to
form
things
i_love
colours
kind
looks_like
pair
opening
up
scene
art
historical
for
men
within
canvas
viewers
looking
in
question
can
you
them
all
here
are
few
just
case
already
not_only
one
my_favorite
by
she
appears
be
as_well
as
ultimate
renaissance
on
subtle
example
kept
several
paintings
show
between
sculpture
course
not
hard
fall
love
cannot
reveal
identity
each
work
or
would
i_got
next
game
at
became
responsible_for
group
students
were
difficult
ones
people
used
say
great
we
got
onto
there_were
doing
performance
film
video
writing
installation
time
stuff
very
small
part
world
what
going
outside
during
70s
there
no
place
london
see
more
interesting
than
gallery
seen
painting
color
experimentation
1970s
right
her
passing
2004
most
consists
colorful
mixed_media
textile
collages
abstract
paper
prints
many
incorporating
hand
textiles
there_are
number
smaller
created
over
artworks
last
public
projects
long
bridge
singapore
circles
died
truly
global
artist
shown
museum
galleries
solo_exhibitions
asia
us
australia
europe
africa
latin_america
now
25
museums
other
corporate
private
collections
countries
more_information
still
test
actual
sale
will
photos
when
recently
three
biggest
artists
jeff_koons
way
another
dealers
leading
top
new_york
times
once
put
title
he
has
earned
moves
like
sculptor
end
his
relationship
pace
john
prices
after
him
2003
offering
german
greater
presence
dealer
you_can
quite
your
life
act
picture
so
speak
marcel_duchamp
1966
artsy
david
los_angeles
both
our
walking
back
while
capture
read
first
link
below
second
follow
i_cant
believe
real
i_am
core
has_taken
level
famous
click
check_out
shadows
they
natural
photo
amazing
attention
detail
beautiful
chinese
new
body
on_view
november
learn_more
featured
2013
venice_biennale
w
look_at
tim
imagined
trees
snow
graphic
white
reading
actually
tree
ground
an
movements
would_be
captured
drawing
i_felt
original
piece
into
something
much_more
if
woods
every_day
what_does
mean
force
participate_in
specifically
human
putting
pen
about
project
reveals
different
qualities
characteristics
do_you
think
statement
have_been
depicting
since
beginning
arts
history
think_about
giving
chance
their_own
distinctive
ways
working
favor
though
me
then
imagine
textures
colors
perhaps
thats_what
forest
floor
im
thinking_about
image
drawings
series
happy
little
ross
captures
his_latest
itself
nude
photography
out
showcasing
expression
movement
wrote
1968
such_as
al
early
generation
school
abstract_expressionist
whose
1950s
had_been
recognized
across
including
paris
abstract_expressionism
represented_by
willem_de
kooning
others
postwar
included
following
books
artwork
pleasure
been
ive_been
relate_to
feeling
tell
hes
days
crisis
focus_on
spiritual
value
exhibition
abandoned
theme
artistic
reflection
shadow
european
present
past
traditions
culture
their
influence
modern
involved
21
list
12
more_than
80
documents
section
book
italy
unknown
language
15
century
mysterious
20
red
key
alex
couple
pieces
always
forever
star
curated_by
william
sarah
michael
lisa
18
available
portrait
proud
first_solo
hong_kong
b
1981
continues
collaboration_with
participation
last_years
hang
roof
party
exhibit
16
explores
surprising
exist
individual
feelings
fine
includes
related
led
happening
29
2010
stands
space
holding
objects
herself
strange
food
object
obvious
purpose
without
anything
face
pink
against
risk
critic
curator
does_not
nature
attempts_to
limits
representation
labor
being
represented
therefore
action
becomes
consciousness
home
studio
ii
2012
shifts
moment
similar
wearing
dress
has_become
woman
alone
keeps
busy
materials
writes
role
continuing
exploration
characters
interior
sea
transforms
fragments
novel
light
display
such
state
isolated
states
experience
via
actions
invented
my
videos
sharing
same
building
happen
m
documentation
practice
neither
can_be
nor
fully
context
only
witness
gesture
how
camera
tool
revealing
showing
we_know
same_time
surrounding
reality
staged
received
genres
department
san_francisco
institute
2007
has_been
station
beijing
contemporary_art
2011
recent
include
young_artists
concept
system
biennial
future
central
academy
fine_arts
an_important
note
depictions
together
shows
rest
set
largest
portfolio
possible
inspiration
remarkable
sound
photographers
have
trained
poses
scale
i_thought
done
year
exhibiting
experimental
is_pleased
known_for
virtual
will_be
date
cinema
physical
interactive
technological
elements
to_create
will_feature
sculptural
exploring
machine
no_longer
exists
uses
inspire
our_lives
quickly
becoming
whether
come
various
explore
change
range
sublime
online
linked
website
featuring
above
digital
through
app
will_include
constructed
began
later
retrospective
ordinary
made
first_time
i_saw
down
middle
had
intense
completely
even
seeing
physically
excitement
spring
this_year
2014
those
invited
share
i_hope
beach
portraits
very_much
conscious
psychological
complexity
subjects
themselves
stand
center
focuses_on
details
figure
depiction
take
does
personality
device
pictures
family
do
it_seems
brilliant
some
questions
for_example
depicts
american
children
boy
his_own
skin
cultural
ideals
beauty
subject
slow
viewing
seminal
1980s
dressed
view
engaged
photographs
printed
large
monumental
pose
critics
call
worked
merely
surface
content
generally
look
straight
positions
slightly
left
begin
shooting
a_lot
five
shots
need
because
at_least
soon
goes
off
changes
get
shot
photographed
old
job
mother
father
brothers
totally
ask
photograph
provide
information
make
style
gives
truth
appearance
gene
portraiture
currently
side
sensitive
personal
anonymous
type
sources
untitled
1986
1988
chicago
studies
1
contemporary
collection
1999
s
phillips
looking_at
guggenheim_museum
publications
maybe
widely
criticism
